             #EP            #LOSS            #PROB             #VAL              #BL            #NORM         #TEST_MU        #TEST_STD        #TEST_GAP
               0            7.53           0.0543             -4.7            -6.48             21.1             4.44            0.914            0.327
               1             6.9           0.0978            -4.42            -6.48             19.1             4.31            0.791             0.29
               2            6.38            0.126            -4.36            -6.47             17.5             4.16            0.769            0.243
               3            6.22            0.138            -4.32             -6.5             16.2              4.1            0.878            0.224
               4            6.05             0.15            -4.29            -6.55               16             4.24            0.948            0.267
               5               6            0.158            -4.26             -6.5             15.4             4.21             1.19            0.251
               6            6.03            0.159            -4.23             -6.5             15.2             4.14            0.803            0.238
               7            5.88            0.175            -4.19            -6.48             15.3             4.08            0.915            0.217
               8            6.08            0.166            -4.17             -6.5             15.2                4            0.895            0.195
               9             5.9            0.184             -4.1            -6.47             15.3             4.04            0.814             0.21
              10            5.95            0.184            -4.07            -6.49             15.5             4.06            0.821            0.215
              11            6.14            0.176            -4.06            -6.48             15.6             3.94            0.742            0.176
              12            6.19            0.179            -4.03            -6.47             15.8              3.9            0.851            0.165
              13            6.11            0.185            -4.02            -6.44             15.7             3.91            0.691             0.17
              14            6.27            0.182            -3.98            -6.49             15.7             3.98            0.849            0.186
              15            6.36            0.182            -3.96            -6.45             15.6             3.85            0.701             0.15
              16            6.16            0.197            -3.95            -6.49             15.6             3.83             0.72            0.144
              17            6.29            0.196            -3.91            -6.53             15.5             3.86            0.766            0.154
              18            6.64            0.179             -3.9            -6.45             15.4             3.91            0.854            0.166
              19            6.65            0.183            -3.88            -6.52             15.4             3.89            0.681            0.165
